product_id,name,sku,category,subcategory,hsn_code,gst_rate,cost_price,selling_price,margin_percent,created_at
1,Special Paneer Do Pyaza,NOR-PAN-00001,North Indian Main Course,Paneer Dishes,2106,5,243.04,340.41,28.6,2023-08-20T00:00:00
2,Classic Dal Saag,NOR-DAL-00002,North Indian Main Course,Dal & Lentils,2106,5,179.49,253.03,29.06,2023-04-08T00:00:00
3,Special Dal Makhani,NOR-DAL-00003,North Indian Main Course,Dal & Lentils,2106,5,410.92,533.57,22.99,2022-09-29T00:00:00
4,Hyderabadi Vegetable Do Pyaza,NOR-VEG-00004,North Indian Main Course,Vegetable Curries,2106,5,400.68,571.87,29.94,2023-06-22T00:00:00
5,Crispy Mutton Do Pyaza,NOR-MUT-00005,North Indian Main Course,Mutton Delicacies,2106,5,241.7,303.75,20.43,2022-12-23T00:00:00
6,Classic Paneer Saag,NOR-PAN-00006,North Indian Main Course,Paneer Dishes,2106,5,219.46,279.65,21.52,2022-03-24T00:00:00
7,Special Chicken Lababdar,NOR-CHI-00007,North Indian Main Course,Chicken Curries,2106,5,366.64,459.85,20.27,2022-11-10T00:00:00
8,Amritsari Paneer Do Pyaza,NOR-PAN-00008,North Indian Main Course,Paneer Dishes,2106,5,441.92,580.06,23.81,2022-11-27T00:00:00
9,Butter Dal Tikka Masala,NOR-DAL-00009,North Indian Main Course,Dal & Lentils,2106,5,187.05,258.79,27.72,2023-02-09T00:00:00
10,Butter Paneer Tikka Masala,NOR-PAN-00010,North Indian Main Course,Paneer Dishes,2106,5,295.04,395.85,25.47,2022-11-24T00:00:00
11,Crispy Vegetable Roganjosh,NOR-VEG-00011,North Indian Main Course,Vegetable Curries,2106,5,236.83,325.9,27.33,2022-01-02T00:00:00
12,Spicy Paneer Makhani,NOR-PAN-00012,North Indian Main Course,Paneer Dishes,2106,5,226.55,307.0,26.21,2022-02-15T00:00:00
13,Butter Dal Roganjosh,NOR-DAL-00013,North Indian Main Course,Dal & Lentils,2106,5,455.34,585.57,22.24,2023-04-12T00:00:00
14,Crispy Paneer Saag,NOR-PAN-00014,North Indian Main Course,Paneer Dishes,2106,5,252.22,349.77,27.89,2022-05-01T00:00:00
15,Butter Chicken Lababdar,NOR-CHI-00015,North Indian Main Course,Chicken Curries,2106,5,318.33,402.21,20.85,2022-08-20T00:00:00
16,Masala Vegetable Korma,NOR-VEG-00016,North Indian Main Course,Vegetable Curries,2106,5,257.93,341.12,24.39,2023-03-08T00:00:00
17,Tandoori Dal Saag,NOR-DAL-00017,North Indian Main Course,Dal & Lentils,2106,5,310.63,388.42,20.03,2023-07-14T00:00:00
18,Hyderabadi Dal Tikka Masala,NOR-DAL-00018,North Indian Main Course,Dal & Lentils,2106,5,432.26,549.87,21.39,2023-06-29T00:00:00
19,Tandoori Vegetable Tikka Masala,NOR-VEG-00019,North Indian Main Course,Vegetable Curries,2106,5,302.13,397.75,24.04,2022-08-10T00:00:00
20,Masala Dal Butter Masala,NOR-DAL-00020,North Indian Main Course,Dal & Lentils,2106,5,369.19,518.92,28.85,2022-06-01T00:00:00
21,Crispy Chicken Tikka Masala,NOR-CHI-00021,North Indian Main Course,Chicken Curries,2106,5,257.94,360.34,28.42,2023-11-29T00:00:00
22,Amritsari Chicken Korma,NOR-CHI-00022,North Indian Main Course,Chicken Curries,2106,5,318.47,448.15,28.94,2022-03-02T00:00:00
23,Amritsari Chicken Makhani,NOR-CHI-00023,North Indian Main Course,Chicken Curries,2106,5,234.94,302.66,22.37,2022-05-29T00:00:00
24,Special Dal Roganjosh,NOR-DAL-00024,North Indian Main Course,Dal & Lentils,2106,5,313.16,440.33,28.88,2022-11-26T00:00:00
25,Butter Chicken Butter Masala,NOR-CHI-00025,North Indian Main Course,Chicken Curries,2106,5,256.35,338.76,24.33,2023-09-13T00:00:00
26,Hyderabadi Paneer Tikka Masala,NOR-PAN-00026,North Indian Main Course,Paneer Dishes,2106,5,482.82,640.97,24.67,2023-07-27T00:00:00
27,Hyderabadi Vegetable Korma,NOR-VEG-00027,North Indian Main Course,Vegetable Curries,2106,5,274.49,348.67,21.28,2022-09-25T00:00:00
28,Amritsari Vegetable Makhani,NOR-VEG-00028,North Indian Main Course,Vegetable Curries,2106,5,393.86,532.31,26.01,2022-01-14T00:00:00
29,Hyderabadi Chicken Lababdar,NOR-CHI-00029,North Indian Main Course,Chicken Curries,2106,5,209.23,289.61,27.75,2022-12-21T00:00:00
30,Amritsari Paneer Makhani,NOR-PAN-00030,North Indian Main Course,Paneer Dishes,2106,5,337.23,481.26,29.93,2022-02-24T00:00:00
31,Butter Paneer Tikka Masala,NOR-PAN-00031,North Indian Main Course,Paneer Dishes,2106,5,480.4,611.22,21.4,2023-09-21T00:00:00
32,Butter Dal Do Pyaza,NOR-DAL-00032,North Indian Main Course,Dal & Lentils,2106,5,371.01,514.28,27.86,2023-07-20T00:00:00
33,Hyderabadi Dal Makhani,NOR-DAL-00033,North Indian Main Course,Dal & Lentils,2106,5,438.54,561.69,21.92,2023-05-22T00:00:00
34,Classic Paneer Saag,NOR-PAN-00034,North Indian Main Course,Paneer Dishes,2106,5,285.52,385.26,25.89,2023-10-08T00:00:00
35,Special Paneer Saag,NOR-PAN-00035,North Indian Main Course,Paneer Dishes,2106,5,420.12,538.57,21.99,2023-08-13T00:00:00
36,Butter Vegetable Makhani,NOR-VEG-00036,North Indian Main Course,Vegetable Curries,2106,5,328.36,459.88,28.6,2023-05-29T00:00:00
37,Hyderabadi Chicken Makhani,NOR-CHI-00037,North Indian Main Course,Chicken Curries,2106,5,423.49,598.54,29.25,2022-05-18T00:00:00
38,Special Paneer Butter Masala,NOR-PAN-00038,North Indian Main Course,Paneer Dishes,2106,5,505.14,637.29,20.74,2023-04-04T00:00:00
39,Tandoori Vegetable Lababdar,NOR-VEG-00039,North Indian Main Course,Vegetable Curries,2106,5,343.97,437.36,21.35,2023-10-03T00:00:00
40,Tandoori Vegetable Butter Masala,NOR-VEG-00040,North Indian Main Course,Vegetable Curries,2106,5,467.86,643.98,27.35,2022-08-24T00:00:00
41,Tandoori Chicken Lababdar,NOR-CHI-00041,North Indian Main Course,Chicken Curries,2106,5,221.43,303.47,27.03,2023-10-04T00:00:00
42,Amritsari Dal Butter Masala,NOR-DAL-00042,North Indian Main Course,Dal & Lentils,2106,5,385.79,546.67,29.43,2022-04-13T00:00:00
43,Amritsari Mutton Korma,NOR-MUT-00043,North Indian Main Course,Mutton Delicacies,2106,5,197.7,263.32,24.92,2023-05-26T00:00:00
44,Classic Paneer Makhani,NOR-PAN-00044,North Indian Main Course,Paneer Dishes,2106,5,322.07,405.55,20.58,2022-04-28T00:00:00
45,Special Vegetable Tikka Masala,NOR-VEG-00045,North Indian Main Course,Vegetable Curries,2106,5,312.36,411.88,24.16,2022-06-15T00:00:00
46,Masala Chicken Makhani,NOR-CHI-00046,North Indian Main Course,Chicken Curries,2106,5,376.38,514.59,26.86,2023-03-06T00:00:00
47,Spicy Mutton Do Pyaza,NOR-MUT-00047,North Indian Main Course,Mutton Delicacies,2106,5,338.93,427.46,20.71,2023-09-19T00:00:00
48,Hyderabadi Paneer Tikka Masala,NOR-PAN-00048,North Indian Main Course,Paneer Dishes,2106,5,194.78,270.04,27.87,2023-03-06T00:00:00
49,Crispy Vegetable Tikka Masala,NOR-VEG-00049,North Indian Main Course,Vegetable Curries,2106,5,442.54,600.5,26.3,2023-06-24T00:00:00
50,Amritsari Mutton Do Pyaza,NOR-MUT-00050,North Indian Main Course,Mutton Delicacies,2106,5,392.01,490.79,20.13,2022-02-01T00:00:00
51,Special Dal Do Pyaza,NOR-DAL-00051,North Indian Main Course,Dal & Lentils,2106,5,441.86,622.02,28.96,2023-07-18T00:00:00
52,Classic Chicken Tikka Masala,NOR-CHI-00052,North Indian Main Course,Chicken Curries,2106,5,389.54,544.39,28.44,2023-02-17T00:00:00
53,Butter Dal Roganjosh,NOR-DAL-00053,North Indian Main Course,Dal & Lentils,2106,5,246.94,323.47,23.66,2023-03-07T00:00:00
54,Hyderabadi Dal Do Pyaza,NOR-DAL-00054,North Indian Main Course,Dal & Lentils,2106,5,479.55,611.19,21.54,2023-08-30T00:00:00
55,Masala Mutton Butter Masala,NOR-MUT-00055,North Indian Main Course,Mutton Delicacies,2106,5,187.63,241.45,22.29,2022-02-18T00:00:00
