item_id,sale_id,product_id,quantity,unit_price,subtotal,gst_rate,gst_amount,total
1,1,10868,2,345.08,690.16,5,34.51,724.67
2,2,17046,2,407.34,814.68,5,40.73,855.41
3,2,17251,1,496.46,496.46,5,24.82,521.28
4,3,18731,2,441.19,882.38,5,44.12,926.5
5,4,24312,1,310.49,310.49,18,55.89,366.38
6,4,581,2,598.82,1197.64,5,59.88,1257.52
7,5,1281,2,517.5,1035.0,5,51.75,1086.75
8,6,23849,2,328.2,656.4,18,118.15,774.55
9,7,26302,1,226.25,226.25,18,40.73,266.98
10,7,19937,2,114.89,229.78,18,41.36,271.14
11,7,5940,3,102.07,306.21,5,15.31,321.52
12,8,23411,3,317.82,953.46,18,171.62,1125.08
13,8,25933,3,202.72,608.16,18,109.47,717.63
14,9,1195,3,261.37,784.11,5,39.21,823.32
15,10,7840,2,441.86,883.72,5,44.19,927.91
16,11,9542,2,434.46,868.92,5,43.45,912.37
17,11,10516,3,238.92,716.76,5,35.84,752.6
18,12,6239,1,141.42,141.42,5,7.07,148.49
19,13,18931,2,250.71,501.42,5,25.07,526.49
20,13,7839,1,211.81,211.81,5,10.59,222.4
21,14,3071,1,279.59,279.59,5,13.98,293.57
22,14,15497,1,314.33,314.33,5,15.72,330.05
23,15,25052,3,306.2,918.6,18,165.35,1083.95
24,15,23467,1,189.51,189.51,18,34.11,223.62
25,15,18471,3,407.09,1221.27,5,61.06,1282.33
26,16,2088,2,311.91,623.82,5,31.19,655.01
27,17,8334,2,254.62,509.24,5,25.46,534.7
28,18,964,3,426.3,1278.9,5,63.95,1342.85
29,19,2294,1,325.32,325.32,5,16.27,341.59
30,19,513,1,635.5,635.5,5,31.78,667.27
31,20,23095,2,100.67,201.34,18,36.24,237.58
32,21,11335,1,285.03,285.03,5,14.25,299.28
33,21,912,3,441.93,1325.79,5,66.29,1392.08
34,22,17317,2,290.64,581.28,5,29.06,610.34
35,23,25183,3,170.6,511.8,18,92.12,603.92
36,24,19074,1,423.16,423.16,5,21.16,444.32
37,24,25573,2,267.52,535.04,18,96.31,631.35
38,24,20871,2,123.91,247.82,18,44.61,292.43
39,24,7951,2,239.24,478.48,5,23.92,502.4
40,25,1983,1,412.02,412.02,5,20.6,432.62
41,25,16773,2,266.57,533.14,5,26.66,559.8
42,25,1886,1,272.67,272.67,5,13.63,286.3
43,26,13967,2,222.93,445.86,5,22.29,468.15
44,27,16115,1,450.18,450.18,5,22.51,472.69
45,27,14787,2,317.35,634.7,5,31.74,666.44
46,28,21917,2,85.01,170.02,18,30.6,200.62
47,28,228,1,630.03,630.03,5,31.5,661.53
48,28,15356,1,365.4,365.4,5,18.27,383.67
49,29,419,2,635.48,1270.96,5,63.55,1334.51
50,30,3855,3,112.43,337.29,5,16.86,354.15
51,30,22925,3,106.68,320.04,18,57.61,377.65
52,31,6468,2,41.1,82.2,5,4.11,86.31
53,32,11977,3,139.08,417.24,5,20.86,438.1
54,32,8130,3,486.03,1458.09,5,72.9,1530.99
55,32,2902,3,637.24,1911.72,5,95.59,2007.31
56,33,309,2,442.91,885.82,5,44.29,930.11
57,33,23540,1,160.36,160.36,18,28.86,189.22
58,33,1063,2,249.04,498.08,5,24.9,522.98
59,34,11902,3,264.65,793.95,5,39.7,833.65
60,34,4950,2,140.95,281.9,5,14.09,296.0
61,34,7058,2,255.02,510.04,5,25.5,535.54
62,34,13076,3,193.34,580.02,5,29.0,609.02
63,35,26053,3,290.99,872.97,18,157.13,1030.1
64,36,7985,1,419.92,419.92,5,21.0,440.92
65,36,13408,3,393.8,1181.4,5,59.07,1240.47
66,36,21594,1,143.61,143.61,18,25.85,169.46
67,37,23064,1,241.18,241.18,18,43.41,284.59
68,38,17430,1,329.98,329.98,5,16.5,346.48
69,38,24159,1,210.52,210.52,18,37.89,248.41
70,39,23310,1,307.94,307.94,18,55.43,363.37
71,39,16119,2,384.16,768.32,5,38.42,806.74
72,39,13202,2,433.54,867.08,5,43.35,910.43
73,40,22352,3,111.21,333.63,18,60.05,393.68
74,40,6547,1,110.13,110.13,5,5.51,115.64
75,41,23929,2,212.12,424.24,18,76.36,500.6
76,41,8169,2,430.23,860.46,5,43.02,903.48
77,42,10894,3,161.98,485.94,5,24.3,510.24
78,43,2911,3,632.2,1896.6,5,94.83,1991.43
79,43,23308,2,186.05,372.1,18,66.98,439.08
80,43,22738,2,197.89,395.78,18,71.24,467.02
81,44,23828,2,257.46,514.92,18,92.69,607.61
82,44,4330,2,147.7,295.4,5,14.77,310.17
83,45,3491,3,109.86,329.58,5,16.48,346.06
84,46,10150,3,296.32,888.96,5,44.45,933.41
85,46,8241,1,337.28,337.28,5,16.86,354.14
86,47,11499,1,293.31,293.31,5,14.67,307.98
87,48,90,2,440.17,880.34,5,44.02,924.36
88,48,8757,3,467.64,1402.92,5,70.15,1473.07
89,49,12519,3,313.21,939.63,5,46.98,986.61
90,49,13050,2,172.3,344.6,5,17.23,361.83
91,50,7225,2,522.61,1045.22,5,52.26,1097.48
92,51,15697,3,463.11,1389.33,5,69.47,1458.8
93,51,2425,2,425.57,851.14,5,42.56,893.7
94,52,5326,2,42.62,85.24,5,4.26,89.5
95,52,1495,3,546.29,1638.87,5,81.94,1720.81
96,53,17666,1,409.69,409.69,5,20.48,430.17
97,53,11054,1,184.04,184.04,5,9.2,193.24
98,53,11963,1,164.5,164.5,5,8.22,172.72
99,54,13605,2,429.84,859.68,5,42.98,902.66
100,54,23721,2,268.21,536.42,18,96.56,632.98
101,54,7672,1,419.17,419.17,5,20.96,440.13
102,55,21903,1,142.62,142.62,18,25.67,168.29
103,55,16491,2,249.55,499.1,5,24.96,524.06
104,56,1331,2,240.8,481.6,5,24.08,505.68
105,56,18556,2,398.23,796.46,5,39.82,836.28
106,56,20633,2,201.27,402.54,18,72.46,475.0
107,57,23153,1,152.01,152.01,18,27.36,179.37
108,57,12195,3,339.7,1019.1,5,50.95,1070.05
109,58,11388,2,244.53,489.06,5,24.45,513.51
110,58,20584,1,81.86,81.86,18,14.73,96.59
111,58,22049,1,120.74,120.74,18,21.73,142.47
112,58,8168,1,272.65,272.65,5,13.63,286.28
113,59,8615,2,387.96,775.92,5,38.8,814.72
114,60,3500,3,103.59,310.77,5,15.54,326.31
115,61,22490,2,156.75,313.5,18,56.43,369.93
116,62,15773,3,237.4,712.2,5,35.61,747.81
117,62,9201,3,270.68,812.04,5,40.6,852.64
118,62,10611,3,141.31,423.93,5,21.2,445.13
119,63,10622,1,281.55,281.55,5,14.08,295.63
120,64,4830,3,85.11,255.33,5,12.77,268.1
121,64,7563,3,352.1,1056.3,5,52.82,1109.12
122,65,17483,3,407.38,1222.14,5,61.11,1283.25
123,66,24796,1,349.12,349.12,18,62.84,411.96
124,66,21225,2,104.75,209.5,18,37.71,247.21
125,67,13158,3,327.69,983.07,5,49.15,1032.22
126,67,17285,2,300.73,601.46,5,30.07,631.53
127,68,25441,1,219.97,219.97,18,39.59,259.56
128,69,20391,1,205.07,205.07,18,36.91,241.98
129,69,20622,2,248.57,497.14,18,89.49,586.63
130,70,16965,1,374.57,374.57,5,18.73,393.3
131,71,19336,2,308.5,617.0,5,30.85,647.85
132,71,6060,2,80.21,160.42,5,8.02,168.44
133,72,16058,2,436.45,872.9,5,43.65,916.54
134,72,25882,2,178.41,356.82,18,64.23,421.05
135,73,144,2,466.42,932.84,5,46.64,979.48
136,73,8779,3,355.72,1067.16,5,53.36,1120.52
137,74,4723,3,113.15,339.45,5,16.97,356.42
138,74,1419,2,400.15,800.3,5,40.02,840.31
139,74,1038,2,428.02,856.04,5,42.8,898.84
140,75,10579,1,289.23,289.23,5,14.46,303.69
141,75,16750,3,365.81,1097.43,5,54.87,1152.3
142,76,9821,3,323.13,969.39,5,48.47,1017.86
143,76,25164,2,169.72,339.44,18,61.1,400.54
144,76,13881,3,446.51,1339.53,5,66.98,1406.51
145,77,891,3,580.26,1740.78,5,87.04,1827.82
146,78,16878,1,292.56,292.56,5,14.63,307.19
147,78,22105,2,226.4,452.8,18,81.5,534.3
148,78,24359,1,198.85,198.85,18,35.79,234.64
149,79,20893,1,173.9,173.9,18,31.3,205.2
150,79,706,1,538.24,538.24,5,26.91,565.15
151,79,93,3,295.64,886.92,5,44.35,931.27
152,80,12566,3,230.3,690.9,5,34.55,725.45
153,81,2851,3,534.94,1604.82,5,80.24,1685.06
154,81,24852,2,223.83,447.66,18,80.58,528.24
155,82,14019,2,288.78,577.56,5,28.88,606.44
156,83,16033,3,427.74,1283.22,5,64.16,1347.38
157,83,4884,3,136.6,409.8,5,20.49,430.29
158,83,3494,1,72.92,72.92,5,3.65,76.57
159,84,8788,3,246.26,738.78,5,36.94,775.72
160,85,6389,2,94.9,189.8,5,9.49,199.29
161,85,11783,2,333.44,666.88,5,33.34,700.22
162,85,6981,2,200.78,401.56,5,20.08,421.64
163,86,18159,1,448.61,448.61,5,22.43,471.04
164,87,18245,1,346.54,346.54,5,17.33,363.87
165,87,18212,1,398.16,398.16,5,19.91,418.07
166,88,2648,2,282.07,564.14,5,28.21,592.35
167,88,25163,1,254.22,254.22,18,45.76,299.98
168,88,13543,1,442.61,442.61,5,22.13,464.74
169,88,23736,3,207.78,623.34,18,112.2,735.54
170,89,11783,1,333.44,333.44,5,16.67,350.11
171,90,3141,2,400.96,801.92,5,40.1,842.02
172,90,9394,2,313.12,626.24,5,31.31,657.55
173,91,25596,2,319.32,638.64,18,114.96,753.6
174,91,16501,1,439.78,439.78,5,21.99,461.77
175,92,24174,3,150.72,452.16,18,81.39,533.55
176,93,18640,2,299.35,598.7,5,29.94,628.63
177,94,897,2,596.22,1192.44,5,59.62,1252.06
178,94,14673,1,407.15,407.15,5,20.36,427.51
179,94,24047,1,267.84,267.84,18,48.21,316.05
180,95,17039,2,549.23,1098.46,5,54.92,1153.38
181,95,7713,3,243.39,730.17,5,36.51,766.68
182,95,19464,2,531.42,1062.84,5,53.14,1115.98
183,96,7202,1,395.73,395.73,5,19.79,415.52
184,96,19443,3,379.41,1138.23,5,56.91,1195.14
185,97,2887,3,273.89,821.67,5,41.08,862.75
186,97,2098,1,436.1,436.1,5,21.81,457.91
187,97,10860,1,331.04,331.04,5,16.55,347.59
188,98,6096,3,133.55,400.65,5,20.03,420.68
189,98,14507,2,332.76,665.52,5,33.28,698.8
190,98,8944,3,458.54,1375.62,5,68.78,1444.4
191,99,7553,1,525.85,525.85,5,26.29,552.14
192,99,14752,1,459.98,459.98,5,23.0,482.98
193,99,17824,1,315.88,315.88,5,15.79,331.67
194,100,24790,1,286.57,286.57,18,51.58,338.15
195,101,22392,1,127.93,127.93,18,23.03,150.96
196,102,17256,3,359.7,1079.1,5,53.95,1133.05
197,102,14409,2,315.45,630.9,5,31.55,662.44
198,102,25845,3,242.52,727.56,18,130.96,858.52
199,102,23257,3,297.21,891.63,18,160.49,1052.12
200,103,23850,2,348.56,697.12,18,125.48,822.6
201,103,14147,3,469.98,1409.94,5,70.5,1480.44
202,104,5612,3,132.23,396.69,5,19.83,416.52
203,105,14793,2,428.08,856.16,5,42.81,898.97
204,105,18383,2,411.16,822.32,5,41.12,863.44
205,106,18045,3,295.97,887.91,5,44.4,932.31
206,106,10857,3,165.16,495.48,5,24.77,520.25
207,106,17349,3,449.21,1347.63,5,67.38,1415.01
208,106,3310,3,67.9,203.7,5,10.19,213.89
209,107,16134,2,332.28,664.56,5,33.23,697.79
210,107,11623,3,260.82,782.46,5,39.12,821.58
211,108,3584,2,81.34,162.68,5,8.13,170.81
212,108,20800,2,232.86,465.72,18,83.83,549.55
213,108,21748,3,104.81,314.43,18,56.6,371.03
214,109,8262,3,224.41,673.23,5,33.66,706.89
215,109,9338,1,350.8,350.8,5,17.54,368.34
216,110,12955,3,164.55,493.65,5,24.68,518.33
217,111,21889,3,217.06,651.18,18,117.21,768.39
218,111,8102,3,514.69,1544.07,5,77.2,1621.27
219,112,21447,2,123.76,247.52,18,44.55,292.07
220,112,14685,2,296.95,593.9,5,29.7,623.6
221,112,2179,2,558.12,1116.24,5,55.81,1172.05
222,113,25848,1,319.67,319.67,18,57.54,377.21
223,113,18000,2,334.7,669.4,5,33.47,702.87
224,113,9590,1,263.39,263.39,5,13.17,276.56
225,114,14956,3,243.5,730.5,5,36.52,767.02
226,114,7001,3,201.55,604.65,5,30.23,634.88
227,115,14862,3,370.31,1110.93,5,55.55,1166.48
228,115,15217,1,324.36,324.36,5,16.22,340.58
229,116,22393,2,191.79,383.58,18,69.04,452.62
230,117,22790,3,154.45,463.35,18,83.4,546.75
231,117,16783,1,259.61,259.61,5,12.98,272.59
232,118,19262,3,354.45,1063.35,5,53.17,1116.52
233,118,4069,2,115.53,231.06,5,11.55,242.61
234,118,12900,2,218.78,437.56,5,21.88,459.44
235,119,16665,1,470.79,470.79,5,23.54,494.33
236,120,26353,1,190.9,190.9,18,34.36,225.26
237,121,897,2,596.22,1192.44,5,59.62,1252.06
238,121,8,1,580.06,580.06,5,29.0,609.06
239,122,11594,1,249.49,249.49,5,12.47,261.96
240,122,15374,2,289.91,579.82,5,28.99,608.81
241,122,19305,3,474.0,1422.0,5,71.1,1493.1
242,123,21984,2,116.5,233.0,18,41.94,274.94
243,124,11388,2,244.53,489.06,5,24.45,513.51
244,125,17308,2,464.88,929.76,5,46.49,976.25
245,126,24568,2,316.0,632.0,18,113.76,745.76
246,126,7916,1,460.25,460.25,5,23.01,483.26
247,127,15491,1,392.19,392.19,5,19.61,411.8
248,127,24854,2,188.57,377.14,18,67.89,445.03
249,128,20983,2,232.79,465.58,18,83.8,549.38
250,128,6607,2,482.36,964.72,5,48.24,1012.96
251,128,8560,1,206.08,206.08,5,10.3,216.38
252,129,4216,3,45.88,137.64,5,6.88,144.52
253,129,21509,3,112.33,336.99,18,60.66,397.65
254,130,5135,3,89.35,268.05,5,13.4,281.45
255,131,16697,2,488.18,976.36,5,48.82,1025.18
256,131,14168,1,450.52,450.52,5,22.53,473.05
257,131,15720,3,360.65,1081.95,5,54.1,1136.05
258,131,15263,3,416.59,1249.77,5,62.49,1312.26
259,132,21091,2,224.35,448.7,18,80.77,529.47
260,133,5587,1,122.35,122.35,5,6.12,128.47
261,134,3301,3,122.86,368.58,5,18.43,387.01
262,134,10959,2,254.91,509.82,5,25.49,535.31
263,134,20174,2,121.72,243.44,18,43.82,287.26
264,135,15597,2,416.75,833.5,5,41.68,875.17
265,136,20036,2,198.55,397.1,18,71.48,468.58
266,137,1838,3,448.12,1344.36,5,67.22,1411.58
267,137,19339,1,372.66,372.66,5,18.63,391.29
268,138,3682,2,123.66,247.32,5,12.37,259.69
269,139,24386,2,309.9,619.8,18,111.56,731.36
270,140,25056,3,190.76,572.28,18,103.01,675.29
271,141,15689,1,349.62,349.62,5,17.48,367.1
272,141,23696,1,175.35,175.35,18,31.56,206.91
273,141,21446,3,183.57,550.71,18,99.13,649.84
274,142,23490,3,193.88,581.64,18,104.7,686.34
275,142,25270,1,157.89,157.89,18,28.42,186.31
276,142,3777,3,110.9,332.7,5,16.64,349.34
277,143,8506,3,460.01,1380.03,5,69.0,1449.03
278,143,3941,3,81.44,244.32,5,12.22,256.54
279,143,6663,1,258.57,258.57,5,12.93,271.5
280,144,11962,2,165.87,331.74,5,16.59,348.33
281,144,14364,1,301.34,301.34,5,15.07,316.41
282,144,21808,3,135.88,407.64,18,73.38,481.02
283,145,13603,2,250.02,500.04,5,25.0,525.04
284,146,17577,2,526.49,1052.98,5,52.65,1105.63
285,146,24056,3,325.74,977.22,18,175.9,1153.12
286,147,15717,3,226.9,680.7,5,34.04,714.74
287,148,11732,3,222.33,666.99,5,33.35,700.34
288,148,20151,3,217.46,652.38,18,117.43,769.81
289,149,14704,3,458.41,1375.23,5,68.76,1443.99
290,149,15855,3,226.44,679.32,5,33.97,713.29
291,149,26243,3,287.26,861.78,18,155.12,1016.9
292,150,16436,3,445.67,1337.01,5,66.85,1403.86
293,150,3233,1,559.53,559.53,5,27.98,587.51
294,151,9076,2,375.04,750.08,5,37.5,787.58
295,151,9838,3,366.18,1098.54,5,54.93,1153.47
296,151,18407,2,427.73,855.46,5,42.77,898.23
297,152,17775,3,410.65,1231.95,5,61.6,1293.55
298,152,17840,2,542.18,1084.36,5,54.22,1138.58
299,152,13365,2,230.57,461.14,5,23.06,484.2
300,153,9927,1,339.18,339.18,5,16.96,356.14
301,154,22966,3,188.14,564.42,18,101.6,666.02
302,154,15494,1,419.91,419.91,5,21.0,440.91
303,154,9647,3,356.34,1069.02,5,53.45,1122.47
304,155,19379,3,338.74,1016.22,5,50.81,1067.03
305,155,21925,2,217.04,434.08,18,78.13,512.21
306,156,26353,3,190.9,572.7,18,103.09,675.79
307,156,8189,2,383.27,766.54,5,38.33,804.87
308,156,5639,2,119.59,239.18,5,11.96,251.14
309,157,10732,3,330.42,991.26,5,49.56,1040.82
310,158,21406,3,244.05,732.15,18,131.79,863.94
311,158,13974,3,320.33,960.99,5,48.05,1009.04
312,159,20288,3,227.21,681.63,18,122.69,804.32
313,159,24830,2,221.72,443.44,18,79.82,523.26
314,160,93,2,295.64,591.28,5,29.56,620.84
315,160,1309,3,364.89,1094.67,5,54.73,1149.4
316,160,6967,2,543.55,1087.1,5,54.35,1141.45
317,161,8621,1,531.25,531.25,5,26.56,557.81
318,161,4448,1,46.39,46.39,5,2.32,48.71
319,162,12148,1,166.48,166.48,5,8.32,174.8
320,163,131,1,308.03,308.03,5,15.4,323.43
321,163,3207,3,443.23,1329.69,5,66.48,1396.17
322,164,13200,1,280.09,280.09,5,14.0,294.09
323,165,3401,2,138.87,277.74,5,13.89,291.63
324,165,4713,1,134.97,134.97,5,6.75,141.72
325,166,24204,2,202.51,405.02,18,72.9,477.92
326,167,12944,2,141.39,282.78,5,14.14,296.92
327,168,25376,1,303.99,303.99,18,54.72,358.71
328,169,17212,1,402.02,402.02,5,20.1,422.12
329,169,26151,3,209.16,627.48,18,112.95,740.43
330,169,6029,1,82.56,82.56,5,4.13,86.69
331,170,12918,3,272.19,816.57,5,40.83,857.4
332,170,6524,3,123.54,370.62,5,18.53,389.15
333,170,14769,3,301.13,903.39,5,45.17,948.56
334,171,24526,2,179.34,358.68,18,64.56,423.24
335,171,10111,1,327.48,327.48,5,16.37,343.85
336,171,24716,2,322.92,645.84,18,116.25,762.09
337,172,26374,2,233.98,467.96,18,84.23,552.19
338,173,23056,1,133.54,133.54,18,24.04,157.58
339,173,21848,2,236.11,472.22,18,85.0,557.22
340,173,4585,2,46.27,92.54,5,4.63,97.17
341,174,12534,2,213.09,426.18,5,21.31,447.49
342,174,8200,2,290.47,580.94,5,29.05,609.99
343,174,1516,1,548.94,548.94,5,27.45,576.39
344,175,17442,1,436.29,436.29,5,21.81,458.1
345,175,15534,1,264.26,264.26,5,13.21,277.47
346,175,17781,3,431.03,1293.09,5,64.65,1357.74
347,176,23888,1,212.42,212.42,18,38.24,250.66
348,176,20149,3,183.14,549.42,18,98.9,648.32
349,177,16696,3,422.26,1266.78,5,63.34,1330.12
350,177,25134,3,325.6,976.8,18,175.82,1152.62
351,178,187,2,260.74,521.48,5,26.07,547.55
352,178,13741,2,222.09,444.18,5,22.21,466.39
353,178,11180,3,222.6,667.8,5,33.39,701.19
