sale_id,customer_id,sale_date,subtotal,gst_amount,total_amount,payment_method,payment_status,amount_paid,amount_due,region,city
1,1055,2025-03-17T16:52:00,690.16,34.51,724.67,credit,partial,342.67,382.0,North,Delhi
2,24495,2025-03-07T08:14:00,1311.14,65.56,1376.7,cash,paid,1376.7,0.0,South,Chennai
3,604,2025-07-26T11:43:00,882.38,44.12,926.5,credit,partial,314.52,611.98,West,Mumbai
4,75505,2024-07-01T12:42:00,1508.13,115.77,1623.9,credit,paid,1623.9,0.0,East,Kolkata
5,66720,2024-07-09T18:35:00,1035.0,51.75,1086.75,credit,paid,1086.75,0.0,West,Surat
6,25911,2024-08-09T09:02:00,656.4,118.15,774.55,upi,paid,774.55,0.0,South,Mysore
7,41155,2025-03-09T13:12:00,762.24,97.4,859.64,cash,paid,859.64,0.0,West,Mumbai
8,69372,2025-10-07T12:16:00,1561.62,281.09,1842.71,credit,partial,1189.45,653.26,South,Kochi
9,9080,2024-12-19T15:16:00,784.11,39.21,823.32,cash,paid,823.32,0.0,North,Noida
10,16649,2025-12-12T20:42:00,883.72,44.19,927.91,upi,paid,927.91,0.0,North,Lucknow
11,66028,2024-09-28T14:23:00,1585.68,79.28,1664.96,credit,paid,1664.96,0.0,South,Kochi
12,36719,2024-04-26T22:11:00,141.42,7.07,148.49,cash,paid,148.49,0.0,North,Amritsar
13,17208,2025-10-27T11:41:00,713.23,35.66,748.89,credit,partial,319.06,429.83,East,Bhubaneswar
14,30551,2025-06-17T10:57:00,593.92,29.7,623.62,card,paid,623.62,0.0,North,Lucknow
15,75192,2025-10-31T14:49:00,2329.38,260.52,2589.9,credit,paid,2589.9,0.0,South,Hyderabad
16,97001,2024-04-07T10:48:00,623.82,31.19,655.01,credit,partial,360.87,294.14,North,Chandigarh
17,95786,2024-05-20T19:52:00,509.24,25.46,534.7,upi,paid,534.7,0.0,West,Pune
18,86873,2024-01-05T20:34:00,1278.9,63.95,1342.85,credit,paid,1342.85,0.0,East,Bhubaneswar
19,98879,2024-12-05T16:33:00,960.82,48.04,1008.86,credit,partial,347.22,661.64,West,Goa
20,1635,2025-02-26T14:59:00,201.34,36.24,237.58,credit,paid,237.58,0.0,North,Delhi
21,53699,2025-12-17T12:10:00,1610.82,80.54,1691.36,credit,paid,1691.36,0.0,West,Mumbai
22,16205,2025-01-24T10:53:00,581.28,29.06,610.34,cash,paid,610.34,0.0,West,Ahmedabad
23,84737,2024-07-26T10:28:00,511.8,92.12,603.92,cash,paid,603.92,0.0,North,Gurgaon
24,93459,2025-12-07T22:44:00,1684.5,186.0,1870.5,credit,partial,1155.76,714.74,South,Kochi
25,1460,2024-02-13T19:07:00,1217.83,60.89,1278.72,cash,paid,1278.72,0.0,North,Gurgaon
26,19047,2025-01-19T18:44:00,445.86,22.29,468.15,cash,paid,468.15,0.0,North,Noida
27,75166,2024-06-15T12:40:00,1084.88,54.24,1139.12,credit,partial,415.15,723.97,South,Kochi
28,46015,2025-05-14T21:35:00,1165.45,80.38,1245.83,credit,partial,771.51,474.32,East,Guwahati
29,30398,2025-12-06T12:33:00,1270.96,63.55,1334.51,cash,paid,1334.51,0.0,South,Coimbatore
30,86151,2024-04-17T08:03:00,657.33,74.47,731.8,credit,paid,731.8,0.0,North,Jaipur
31,77708,2025-09-03T20:51:00,82.2,4.11,86.31,credit,paid,86.31,0.0,West,Goa
32,39458,2025-02-25T18:58:00,3787.05,189.35,3976.4,credit,paid,3976.4,0.0,North,Jaipur
33,92288,2024-10-24T14:20:00,1544.26,98.06,1642.32,credit,partial,641.51,1000.81,North,Chandigarh
34,11238,2024-11-09T16:11:00,2165.91,108.3,2274.21,cash,paid,2274.21,0.0,North,Gurgaon
35,77086,2025-02-13T13:19:00,872.97,157.13,1030.1,cash,paid,1030.1,0.0,South,Kochi
36,12486,2025-05-18T13:45:00,1744.93,105.92,1850.85,credit,partial,1132.58,718.27,South,Mysore
37,60177,2025-02-04T12:39:00,241.18,43.41,284.59,credit,partial,107.42,177.17,West,Ahmedabad
38,16269,2024-07-27T11:40:00,540.5,54.39,594.89,credit,partial,411.64,183.25,East,Kolkata
39,6656,2025-05-20T08:48:00,1943.34,137.2,2080.54,credit,partial,1278.92,801.62,North,Jaipur
40,15428,2024-04-23T20:17:00,443.76,65.56,509.32,credit,partial,165.04,344.28,North,Amritsar
41,91738,2025-07-23T19:59:00,1284.7,119.39,1404.09,credit,partial,981.13,422.96,West,Surat
42,42262,2024-03-28T13:46:00,485.94,24.3,510.24,upi,paid,510.24,0.0,South,Kochi
43,59583,2024-06-01T18:38:00,2664.48,233.05,2897.53,card,paid,2897.53,0.0,North,Jaipur
44,8679,2024-07-25T12:24:00,810.32,107.46,917.78,credit,partial,381.37,536.41,East,Bhubaneswar
45,9509,2025-12-17T18:29:00,329.58,16.48,346.06,upi,paid,346.06,0.0,East,Bhubaneswar
46,79931,2024-05-26T13:42:00,1226.24,61.31,1287.55,cash,paid,1287.55,0.0,North,Gurgaon
47,85784,2024-12-28T19:29:00,293.31,14.67,307.98,credit,partial,183.5,124.48,East,Kolkata
48,37214,2025-08-01T19:39:00,2283.26,114.16,2397.42,credit,partial,1619.09,778.33,North,Delhi
49,78858,2025-10-22T12:53:00,1284.23,64.21,1348.44,cash,paid,1348.44,0.0,South,Kochi
