date,cpi_inflation,wpi_inflation,fuel_price_petrol,fuel_price_diesel,gold_price,usd_inr_rate
2022-01-01,5.29,4.3,102.23,89.3,55074.23,82.59
2022-01-02,5.64,4.03,101.96,92.42,54755.41,82.05
2022-01-03,5.57,4.62,98.06,89.23,55466.03,82.01
2022-01-04,5.14,4.41,101.89,88.3,56016.24,81.78
2022-01-05,5.24,4.7,98.78,89.25,55457.38,81.93
2022-01-06,5.55,3.64,99.73,88.62,55328.43,82.44
2022-01-07,5.64,3.53,99.6,92.54,55117.32,81.69
2022-01-08,5.76,3.24,98.05,90.7,54732.62,81.99
2022-01-09,5.17,4.36,102.67,88.36,55452.97,82.66
2022-01-10,5.41,3.99,102.47,89.77,55779.63,82.83
2022-01-11,5.9,3.49,101.08,89.3,56143.47,81.77
2022-01-12,5.29,4.52,102.83,90.45,54774.61,82.83
2022-01-13,5.82,3.79,102.38,90.16,55879.83,81.7
2022-01-14,5.98,3.41,101.22,91.57,55663.73,81.81
2022-01-15,5.14,3.85,99.82,90.51,55242.55,81.88
2022-01-16,6.0,4.66,101.83,90.35,55464.34,81.79
2022-01-17,5.72,3.77,102.48,89.89,55476.91,82.85
2022-01-18,5.5,3.67,99.07,90.63,56126.84,82.54
2022-01-19,5.94,3.79,99.92,90.44,54772.62,82.3
2022-01-20,5.17,3.92,99.42,91.67,54937.18,81.74
2022-01-21,5.96,3.6,98.73,92.27,54894.44,82.44
2022-01-22,5.12,4.44,101.32,88.84,54840.02,82.46
2022-01-23,5.37,3.62,101.0,88.58,54976.66,82.52
2022-01-24,5.92,3.35,101.6,89.85,56048.63,82.2
2022-01-25,5.86,3.99,101.05,91.56,55811.52,82.56
2022-01-26,5.99,4.32,102.93,89.26,55128.44,81.99
2022-01-27,5.72,4.34,103.13,89.57,55786.56,82.46
2022-01-28,5.52,4.0,101.37,90.31,55900.19,82.63
2022-01-29,5.84,4.87,98.64,90.13,55427.81,82.13
2022-01-30,5.73,3.5,102.25,89.73,55191.93,82.67
2022-01-31,5.39,4.66,102.83,91.35,55654.0,82.04
2022-02-01,5.34,4.57,98.63,90.59,56111.06,81.83
2022-02-02,6.16,4.06,101.34,89.4,54831.49,81.68
2022-02-03,5.85,4.47,101.47,90.69,56021.07,82.1
2022-02-04,5.61,3.79,101.06,92.59,56013.14,82.01
2022-02-05,5.54,4.78,98.9,89.49,55117.9,81.95
2022-02-06,6.09,4.93,100.01,92.18,56108.25,81.93
2022-02-07,5.8,3.46,101.7,92.6,56026.41,82.03
2022-02-08,5.27,4.26,98.39,92.65,55332.05,82.15
2022-02-09,6.09,4.82,101.74,91.71,54845.99,81.92
2022-02-10,5.92,5.0,101.71,89.26,56248.18,82.47
2022-02-11,5.42,4.71,101.86,90.5,56026.22,82.3
2022-02-12,5.3,4.4,99.21,91.2,56015.72,81.79
2022-02-13,5.75,4.1,99.28,90.97,55859.6,82.71
2022-02-14,6.17,4.81,99.11,92.73,55841.51,81.87
2022-02-15,5.55,4.12,100.66,89.46,55023.41,82.82
2022-02-16,6.19,3.49,99.35,89.02,55853.47,82.66
2022-02-17,6.0,4.24,102.9,92.8,54969.27,82.03
2022-02-18,5.31,3.89,100.64,89.15,55962.62,82.18
2022-02-19,6.13,3.7,101.98,89.16,56279.11,82.34
2022-02-20,5.52,4.98,98.51,91.92,55635.77,82.78
2022-02-21,5.87,4.69,100.71,88.96,55063.35,81.73
2022-02-22,6.19,5.05,98.32,90.5,55385.03,81.8
2022-02-23,6.21,4.85,101.01,89.83,55098.81,82.77
2022-02-24,5.86,3.82,100.07,92.46,55785.36,82.46
2022-02-25,6.08,3.78,99.93,88.69,55247.37,82.17
