city,date,temperature_high,temperature_low,temperature_avg,precipitation_mm,humidity_percent,condition
Mumbai,2022-01-01,23.1,16.5,20.0,0.0,40,cloudy
Mumbai,2022-01-02,23.0,14.6,19.7,0.0,37,sunny
Mumbai,2022-01-03,28.1,16.0,21.6,0.0,69,cloudy
Mumbai,2022-01-04,23.8,12.7,19.9,0.0,51,partly_cloudy
Mumbai,2022-01-05,25.1,13.4,19.9,0.0,30,sunny
Mumbai,2022-01-06,25.9,13.2,18.5,8.1,40,sunny
Mumbai,2022-01-07,21.9,13.0,18.4,0.0,66,sunny
Mumbai,2022-01-08,26.7,12.4,19.8,0.0,40,partly_cloudy
Mumbai,2022-01-09,25.4,18.1,21.6,0.0,65,partly_cloudy
Mumbai,2022-01-10,26.4,13.0,20.6,0.0,69,cloudy
Mumbai,2022-01-11,27.0,15.7,20.9,0.0,49,cloudy
Mumbai,2022-01-12,23.3,14.9,19.5,0.0,52,sunny
Mumbai,2022-01-13,25.1,12.3,19.7,0.0,64,partly_cloudy
Mumbai,2022-01-14,24.6,14.7,19.5,0.0,44,partly_cloudy
Mumbai,2022-01-15,29.8,16.6,21.8,0.0,40,sunny
Mumbai,2022-01-16,22.7,14.4,18.9,0.0,32,partly_cloudy
Mumbai,2022-01-17,24.6,12.2,20.1,9.0,49,sunny
Mumbai,2022-01-18,24.5,16.0,19.1,0.0,58,sunny
Mumbai,2022-01-19,22.6,16.4,19.5,0.0,43,partly_cloudy
Mumbai,2022-01-20,27.2,12.1,19.8,0.0,63,sunny
Mumbai,2022-01-21,25.1,12.2,19.2,0.0,65,sunny
Mumbai,2022-01-22,26.2,15.4,20.6,0.0,38,sunny
Mumbai,2022-01-23,27.4,16.5,19.6,0.0,63,cloudy
Mumbai,2022-01-24,24.4,13.2,19.2,0.0,34,sunny
Mumbai,2022-01-25,26.2,16.6,20.2,0.0,43,partly_cloudy
Mumbai,2022-01-26,28.4,17.7,21.2,8.0,67,partly_cloudy
Mumbai,2022-01-27,23.5,11.1,18.4,0.0,64,cloudy
Mumbai,2022-01-28,25.7,16.3,20.3,0.0,34,sunny
Mumbai,2022-01-29,28.4,14.1,21.9,0.0,52,sunny
Mumbai,2022-01-30,28.3,13.6,21.1,0.0,66,sunny
Mumbai,2022-01-31,26.0,16.7,20.0,0.0,56,sunny
Mumbai,2022-02-01,22.8,12.0,19.4,0.0,53,cloudy
Mumbai,2022-02-02,25.4,14.1,18.1,5.8,40,partly_cloudy
Mumbai,2022-02-03,26.2,18.1,21.5,0.0,47,partly_cloudy
Mumbai,2022-02-04,23.2,14.1,19.6,0.0,53,sunny
Mumbai,2022-02-05,27.6,16.1,19.7,0.0,68,partly_cloudy
Mumbai,2022-02-06,26.2,16.9,21.0,0.0,59,partly_cloudy
Mumbai,2022-02-07,23.4,13.0,19.1,0.0,60,partly_cloudy
Mumbai,2022-02-08,28.3,16.6,21.5,0.0,66,partly_cloudy
Mumbai,2022-02-09,24.2,12.2,18.3,0.0,47,sunny
Mumbai,2022-02-10,26.3,13.4,18.8,0.0,40,sunny
Mumbai,2022-02-11,28.1,14.3,21.2,0.0,49,sunny
Mumbai,2022-02-12,22.4,11.5,18.1,0.0,34,sunny
Mumbai,2022-02-13,27.4,14.4,20.7,0.0,63,sunny
Mumbai,2022-02-14,24.5,13.8,20.6,0.0,55,sunny
Mumbai,2022-02-15,24.8,15.2,18.8,0.0,65,partly_cloudy
Mumbai,2022-02-16,24.3,15.6,20.1,0.0,49,partly_cloudy
Mumbai,2022-02-17,23.8,12.3,19.7,0.0,38,partly_cloudy
Mumbai,2022-02-18,27.4,16.4,21.3,0.0,32,cloudy
Mumbai,2022-02-19,22.8,15.3,19.7,0.0,38,partly_cloudy
Mumbai,2022-02-20,26.2,12.2,19.0,0.0,52,sunny
Mumbai,2022-02-21,23.2,13.1,19.5,0.0,65,partly_cloudy
Mumbai,2022-02-22,24.0,15.1,20.1,0.0,63,sunny
Mumbai,2022-02-23,23.4,14.0,19.7,0.0,63,partly_cloudy
Mumbai,2022-02-24,27.4,15.3,21.3,0.0,69,partly_cloudy
